"Categoria","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Tocantins","68085342.94004904","64757630.13761611","80645243.31245723","70263443.47814438","60486311.15867091","77966528.4233833","63680803.53629197","60779584.781867266","51867044.91028431","60724051.557215095","61203505.68181085","58633339.706872165","47392778.35963281","55355901.78115575","59632485.899444714","55980286.05027786","50525421.62280687","42183369.30695244","44797374.14704981","41830756.941338375","42690075.28237077","43758526.41824238","52906525.99669977","65294086.17456211","58458168.13713318","63003214.96184142","55278441.28377794","52419374.63570738","52030908.990716","57591566.22945186","53825808.63566823","52340135.14154422","72594432.07939048"
"Amazonas","18735213.848199595","20508405.942553755","28418048.39617642","27329239.555657476","29880280.26443224","34666485.86276528","40933830.030726716","57199833.32118276","59907919.06098679","39763136.305496484","38641580.11253101","32708193.341200933","46175269.32679349","71740589.59107365","65763960.22106188","69211227.79726359","64823487.45208282","49745578.22421628","42986496.88728497","44395154.98446543","52003009.03671621","38721894.43105854","43077048.68527938","53425554.27955536","55116335.54276539","77037129.06614518","102337918.32796107","74063062.90197587","72466951.62728663","128363622.43560149","117680201.3520441","184590797.85661983","72058080.0109896"
"Paraná","78721979.37559876","75065324.18191466","68358071.74204263","69797771.2436199","73741030.57582113","74032825.20782822","71900114.92275484","77677815.90252551","69231006.21230188","76264282.58565262","77706779.70491016","73190355.53469223","76486319.33262083","81734760.72903337","73352303.50699346","68493808.22677301","70061278.13509117","71357671.86410058","72929432.51853503","68449170.28099272","70845901.05902779","71229636.06234117","73885609.39045534","78001363.0330478","77817010.84156209","79804190.63625646","76988014.26603861","75900551.57348986","73956699.33189504","79184153.35433273","76214163.94437669","77802325.47799738","71902311.43934202"
"Rio de Janeiro","32283175.55753988","34623753.18885173","33733976.932180576","34328372.07410273","35982896.16677285","34904803.405880354","33822725.76541281","38519361.18167501","41538923.07698187","41015822.239707574","45748206.18086993","45697749.60707175","46885717.5720973","46436137.95776717","46776992.375712916","50266668.4553837","49633193.06877847","55862355.87931032","65506687.996309176","64115884.54005372","68484193.89362429","69860782.12760638","74799310.97253472","78656367.64186163","76587151.7839743","76109045.2634799","68159968.59593993","70612490.96883234","67591488.36759108","69088200.91309181","66765929.58421445","73929169.21120366","66013424.737703316"
"NA","68303916.46980953","64177413.495368004","63742849.67621827","65735084.01091099","67660450.92275381","70441511.17193693","74606177.37444592","78896829.73835641","71141869.65870357","84344215.4569341","62419124.675115585","55867847.346116066","60367526.58429146","63151116.59179437","68294700.39106655","68785995.58029109","71034004.39762953","50989417.95516606","49980011.289843574","48892059.42041683","53935213.371632755","58431027.33887285","57691997.35064955","58936469.71210546","61470957.38940253","60224398.83829084","56584183.37191705","61328714.38810118","62435040.3758147","63698323.73243417","58883682.392084196","61408760.35933441","59976146.944531895"
"Santa Catarina","38386266.89844721","39563376.428078115","37908045.98928026","39482600.346608415","34798806.589388154","35550440.590483926","35438439.61679289","40328075.729758725","32847409.22734964","38345276.250845104","43004360.54390896","42635598.61305887","44021713.15198089","45511241.655809574","43883116.341404065","42896855.18100818","45168241.19298225","43288570.82217999","44345539.773528144","43913262.544527516","45546310.13841135","42863639.29593285","46073827.19842839","50231521.87972905","49336780.90729697","48967155.319107324","48231038.35653221","48720971.66764795","48089252.93119534","51848966.78713495","47325747.300084345","50067912.434623666","47291167.2812802"
"Acre","20760910.8908224","23560951.41906218","26504289.728876144","26022201.61004485","38835060.295609124","35873869.08472985","39930326.817822","34448038.589889966","32111402.366337866","37574350.12313497","37559269.841003075","31249109.465558305","48450695.34790967","54064497.053810604","39556025.20475152","39296141.332580455","30720243.00740576","25486122.026541103","25979956.33284081","25978139.922344286","27565332.812665574","22318861.956294615","22473733.72307506","26827599.403386198","28872780.890509","31118072.580052443","27814754.8488558","31275480.76100371","34719574.35460321","61813598.406294614","55093077.050795354","63318797.211138986","43190367.12773664"
"Espírito Santo","21428792.597168922","22660788.085704","20374174.241489187","20082151.4648992","23200447.370111234","24070314.191820525","20321541.92072205","21047154.952432718","22988997.546819307","20023233.31090145","25019027.166536275","20343708.274838183","21782826.176641483","23414800.74557125","19731481.7977612","18866422.760250345","20036416.868040424","24548190.694757987","23652750.76603642","23530768.24033127","28759323.9147805","30600177.174718805","30889131.563503332","33161579.57359252","34401748.376334235","34680237.82002438","31842601.3202757","31762309.460555863","30686438.427342992","29358940.98294908","29567934.12948365","31674547.792349085","29041392.489350352"
"Pernambuco","22555945.982371256","21419033.043110874","20996227.63363349","18036060.091051105","14577879.980738485","17764513.04996937","17049980.93286415","16970291.78828302","16365463.379391488","14921880.17392744","16096847.368888741","15896566.133100132","16295297.639849436","17105763.898107965","17354948.94285468","19140535.197557252","18008743.554298572","19301498.206326652","19713372.010778774","19065643.977620434","22538439.957987823","23733501.333957065","23973353.59135411","22773200.968358938","26585257.661886353","25013869.97790239","24178301.01205877","24032867.773790397","24487870.408639032","22997982.39853027","20365334.27167372","23775059.48577984","24405339.75558576"
"Ceará","35666310.004658654","27162272.250114","20497748.863745738","20336687.2889812","21238433.214518473","18717256.190734778","19324422.566139296","22154337.764453515","24608634.002478242","36557786.97570384","31076870.581399627","27101842.918049376","26161423.524193306","25830713.95262519","35597687.021083325","28977065.85350295","29979603.78312237","32177189.23028957","27608644.497465488","27546774.803008918","24915830.938832127","26046206.21471018","28423380.206424363","31131197.019839525","33385989.81015667","34700885.48566925","32111365.56009303","34310236.80665471","43886499.0599286","29646785.595687736","21980122.26407557","26716465.476151448","22506524.42300652"
"Piauí","18162534.821941845","17739162.257677577","17413279.9986094","15938313.277543016","18421091.781284347","16336897.817081425","13897457.437568406","15830067.732614135","15572177.916253012","18128382.889135778","16907789.98709471","21069447.133569784","15902324.841013025","16385345.073775172","28886757.96577513","23510401.968813088","17514679.046397805","20671173.383367766","20823396.711993683","17980978.72874622","27536552.740945533","22062172.542423554","40896233.53128482","32689975.594079707","31326432.725744367","28858907.094299477","19913498.2295684","24909992.522519663","33015374.63422144","29453690.625240244","26880466.834169958","23696914.995743055","21809057.418487072"
"Roraima","9524567.121154405","10554158.063224483","16225846.645026926","16866118.422691416","14996559.24256181","15887129.752040626","19451103.66967612","17828851.3544157","21131756.272875972","24761411.332090445","24066014.129793867","27246747.60491175","22433632.693002097","24789183.031027574","23224989.358475976","21960717.94465097","18301146.2065826","20974921.464922786","25550388.205907047","12689183.999283407","11090450.214662125","10124409.9880829","12950976.873171048","22186056.68903276","26009882.531311996","32734703.324769687","27850454.819582466","22555197.073792737","23842093.953664634","40048428.14395288","28733238.143060718","41089477.93948759","20616826.001700345"
"Paraíba","10806300.308516286","9670350.811037086","10775461.363391925","9286563.986504376","8641546.762378613","9477017.198796725","8957157.052220985","8400616.857424906","8843528.921745475","8227951.952583723","9573151.097776528","9815045.300685188","8887139.167216446","7749723.677733562","8302318.2935671285","7926353.818950017","8081208.365350606","9611478.17382929","9436874.514562463","8979952.624529196","12170513.409578111","11362131.387287324","14746524.431111047","11392824.465598851","11807924.716680557","12540268.854406428","12803106.668042708","13061625.9357741","14096369.487805257","11668735.300359957","10725535.545110809","11805260.917574143","11479777.771246579"
"Alagoas","9232534.42197891","10098063.116042048","8473198.249817047","7232463.251913464","7038393.581858307","7226395.949922445","6806816.05755516","7247136.572914632","7168570.981785596","7396559.668192324","6611647.590979663","6991487.353034694","6643639.9101427635","6885069.278921258","6528408.509343643","6791966.701778838","6606044.873692238","7968377.657567962","7166187.095725638","7042862.436631857","8682561.740567839","8762836.454740962","8562694.284101952","8534779.109146133","8554403.246627826","8241644.129503544","8620065.769919291","9284957.629087748","8462283.776580313","8627596.706878284","8605700.002042506","9076697.77668471","11064724.5064125"
"Sergipe","7073436.414686129","7306860.6653824635","7682720.094667116","7140204.1297172215","7005887.729010135","6325530.983400473","6101502.048377017","6500541.610148158","6481292.075265787","7059508.7688968945","6839685.132544814","6277433.556275905","6464042.144850632","6585267.4243233865","6861016.376208145","7124708.755113048","7390264.768542366","8084637.142008561","8667577.355825989","8605161.095025541","9000517.709397541","9194925.573173275","9363687.480773129","9635430.001103176","9543416.704205755","9133256.747545145","9181155.696591157","8703934.881232353","9103927.48602196","9161264.135441866","8926962.48207245","10763761.3856353","10242343.266318908"
"Rio Grande do Norte","8865169.216886863","8787913.348131051","10054176.375286954","7754123.702185455","7923916.94299504","5852237.269043401","6163349.569102829","8207119.014751054","9878726.453595702","9883464.73880905","10203793.59500313","11450465.518481096","9804532.531228894","7331848.1036994","9956948.696146706","7691500.25592313","8286611.4040501565","8544688.689476425","8818630.133733349","8917727.201960165","11754502.31669408","10998603.845648902","14631918.179683613","14013997.462376101","11717223.560900057","11491623.111231199","10028919.552290343","10697679.644410312","10307933.01986817","9301220.175271384","8815123.603201464","9116441.402730292","9613904.89896647"
"Distrito Federal","2901082.0505327582","3162516.4962668824","2785616.47420358","2936331.927588339","3113726.9448500876","3274106.269243289","3568595.1732081287","3985213.5847547576","4877090.950762391","4785124.043926939","5151340.200554583","5267161.873971153","5226838.307029493","5134498.245100975","5440858.084433001","5413476.50428731","5339059.690818899","5651054.105284056","5704578.906412125","5865060.890318457","6586023.256747528","7187476.410204306","7591778.337344015","7802031.288747992","8545295.220224153","8776072.015699912","7988295.341596404","7779389.153760302","7105684.4197085695","7118680.599255832","6391651.13254747","7139406.254849551","7346778.960064097"
"Amapá","4279347.239067232","1791969.7323575076","7196352.016239716","4040747.2783038584","7470652.836003874","7422918.411768455","6001594.45968945","2804988.36649384","5155260.139212821","3612889.9876152896","3545377.5536283185","2707271.9040284823","4559448.334424293","2904683.5803320576","3669828.3740376304","3240524.547315143","2999667.8531202404","3777934.0075562047","3994932.0785303125","3900443.7558642356","3682092.181815667","3390728.944088971","4754744.106517679","4547081.8336700285","4830088.661416931","4915236.09201313","6481147.80243909","5237260.183717006","3728361.6272688177","4492946.891519998","3491813.858055385","2937458.4259370635","2592003.082788864"
